track_id	assay	group	mode	url	filename
H3K4me2__imputed__Lung	H3K4me2	Lung	imputed	https://epigenome.wustl.edu/epimap/data/averagetracks_pergroup/average_H3K4me2_imputed_Lung.bigWig	average_H3K4me2_imputed_Lung.bigWig
H3K4me2__imputed__Lymphoblastoid	H3K4me2	Lymphoblastoid	imputed	https://epigenome.wustl.edu/epimap/data/averagetracks_pergroup/average_H3K4me2_imputed_Lymphoblastoid.bigWig	average_H3K4me2_imputed_Lymphoblastoid.bigWig
H3K4me2__imputed__Mesench	H3K4me2	Mesench	imputed	https://epigenome.wustl.edu/epimap/data/averagetracks_pergroup/average_H3K4me2_imputed_Mesench.bigWig	average_H3K4me2_imputed_Mesench.bigWig
H3K4me2__imputed__iPSC	H3K4me2	iPSC	imputed	https://epigenome.wustl.edu/epimap/data/averagetracks_pergroup/average_H3K4me2_imputed_iPSC.bigWig	average_H3K4me2_imputed_iPSC.bigWig
H3K4me3__imputed__BloodandT-cell	H3K4me3	BloodandT-cell	imputed	https://epigenome.wustl.edu/epimap/data/averagetracks_pergroup/average_H3K4me3_imputed_BloodandT-cell.bigWig	average_H3K4me3_imputed_BloodandT-cell.bigWig
H3K4me3__imputed__Brain	H3K4me3	Brain	imputed	https://epigenome.wustl.edu/epimap/data/averagetracks_pergroup/average_H3K4me3_imputed_Brain.bigWig	average_H3K4me3_imputed_Brain.bigWig
H3K4me3__imputed__Cancer	H3K4me3	Cancer	imputed	https://epigenome.wustl.edu/epimap/data/averagetracks_pergroup/average_H3K4me3_imputed_Cancer.bigWig	average_H3K4me3_imputed_Cancer.bigWig
H3K4me3__imputed__Digestive	H3K4me3	Digestive	imputed	https://epigenome.wustl.edu/epimap/data/averagetracks_pergroup/average_H3K4me3_imputed_Digestive.bigWig	average_H3K4me3_imputed_Digestive.bigWig
H3K4me3__imputed__ESC	H3K4me3	ESC	imputed	https://epigenome.wustl.edu/epimap/data/averagetracks_pergroup/average_H3K4me3_imputed_ESC.bigWig	average_H3K4me3_imputed_ESC.bigWig
H3K4me3__imputed__Endocrine	H3K4me3	Endocrine	imputed	https://epigenome.wustl.edu/epimap/data/averagetracks_pergroup/average_H3K4me3_imputed_Endocrine.bigWig	average_H3K4me3_imputed_Endocrine.bigWig
H3K4me3__imputed__Endothelial	H3K4me3	Endothelial	imputed	https://epigenome.wustl.edu/epimap/data/averagetracks_pergroup/average_H3K4me3_imputed_Endothelial.bigWig	average_H3K4me3_imputed_Endothelial.bigWig
H3K4me3__imputed__Epithelial	H3K4me3	Epithelial	imputed	https://epigenome.wustl.edu/epimap/data/averagetracks_pergroup/average_H3K4me3_imputed_Epithelial.bigWig	average_H3K4me3_imputed_Epithelial.bigWig
H3K4me3__imputed__HSCandB-cell	H3K4me3	HSCandB-cell	imputed	https://epigenome.wustl.edu/epimap/data/averagetracks_pergroup/average_H3K4me3_imputed_HSCandB-cell.bigWig	average_H3K4me3_imputed_HSCandB-cell.bigWig
H3K4me3__imputed__Heart	H3K4me3	Heart	imputed	https://epigenome.wustl.edu/epimap/data/averagetracks_pergroup/average_H3K4me3_imputed_Heart.bigWig	average_H3K4me3_imputed_Heart.bigWig
H3K4me3__imputed__Kidney	H3K4me3	Kidney	imputed	https://epigenome.wustl.edu/epimap/data/averagetracks_pergroup/average_H3K4me3_imputed_Kidney.bigWig	average_H3K4me3_imputed_Kidney.bigWig
H3K4me3__imputed__Liver	H3K4me3	Liver	imputed	https://epigenome.wustl.edu/epimap/data/averagetracks_pergroup/average_H3K4me3_imputed_Liver.bigWig	average_H3K4me3_imputed_Liver.bigWig
H3K4me3__imputed__Lung	H3K4me3	Lung	imputed	https://epigenome.wustl.edu/epimap/data/averagetracks_pergroup/average_H3K4me3_imputed_Lung.bigWig	average_H3K4me3_imputed_Lung.bigWig
H3K4me3__imputed__Lymphoblastoid	H3K4me3	Lymphoblastoid	imputed	https://epigenome.wustl.edu/epimap/data/averagetracks_pergroup/average_H3K4me3_imputed_Lymphoblastoid.bigWig	average_H3K4me3_imputed_Lymphoblastoid.bigWig
H3K4me3__imputed__Mesench	H3K4me3	Mesench	imputed	https://epigenome.wustl.edu/epimap/data/averagetracks_pergroup/average_H3K4me3_imputed_Mesench.bigWig	average_H3K4me3_imputed_Mesench.bigWig
H3K4me3__imputed__iPSC	H3K4me3	iPSC	imputed	https://epigenome.wustl.edu/epimap/data/averagetracks_pergroup/average_H3K4me3_imputed_iPSC.bigWig	average_H3K4me3_imputed_iPSC.bigWig
H3K9ac__imputed__BloodandT-cell	H3K9ac	BloodandT-cell	imputed	https://epigenome.wustl.edu/epimap/data/averagetracks_pergroup/average_H3K9ac_imputed_BloodandT-cell.bigWig	average_H3K9ac_imputed_BloodandT-cell.bigWig
H3K9ac__imputed__Brain	H3K9ac	Brain	imputed	https://epigenome.wustl.edu/epimap/data/averagetracks_pergroup/average_H3K9ac_imputed_Brain.bigWig	average_H3K9ac_imputed_Brain.bigWig
H3K9ac__imputed__Cancer	H3K9ac	Cancer	imputed	https://epigenome.wustl.edu/epimap/data/averagetracks_pergroup/average_H3K9ac_imputed_Cancer.bigWig	average_H3K9ac_imputed_Cancer.bigWig
H3K9ac__imputed__Digestive	H3K9ac	Digestive	imputed	https://epigenome.wustl.edu/epimap/data/averagetracks_pergroup/average_H3K9ac_imputed_Digestive.bigWig	average_H3K9ac_imputed_Digestive.bigWig
H3K9ac__imputed__ESC	H3K9ac	ESC	imputed	https://epigenome.wustl.edu/epimap/data/averagetracks_pergroup/average_H3K9ac_imputed_ESC.bigWig	average_H3K9ac_imputed_ESC.bigWig
H3K9ac__imputed__Endocrine	H3K9ac	Endocrine	imputed	https://epigenome.wustl.edu/epimap/data/averagetracks_pergroup/average_H3K9ac_imputed_Endocrine.bigWig	average_H3K9ac_imputed_Endocrine.bigWig
